headline,source,intro,date,datetime
What’s Next for Japan’s Economy After Monetary Policy Shift?,The Diplomat – Asia-Pacific Current Affairs Magazine,"In March 2024, the Bank of Japan (BOJ) ended its years-long experiment with negative interest rates to try and stem the country's economic stagflation.",3 Apr 2024,2024-04-03
Bank Of Japan Ends Negative Interest Rate Policy,Global Finance Magazine,"The Bank of Japan (BoJ) announced a new short-term interest rate target in the 0% to 0.1% range last month, it marked a historic shift in the country's...",2 Apr 2024,2024-04-02
"Editorial: With the return of interest rates, Japan's banks must work to support economy",毎日新聞,Japan's three megabanks announced rate hikes on savings accounts from an annual 0.001% to 0.02% -- a 20-fold increase. Other financial institutions have...,1 Apr 2024,2024-04-01
Why the sun is rising on a new Japanese dawn,Australian Broadcasting Corporation,"Japan spent years as an economic powerhouse before spending decades under threat from recessions. But seemingly overnight, its fortunes appear to have...",1 Apr 2024,2024-04-01
Japan used to have one of the world’s fastest growing economies and then it got stuck in deflation. Economists now think Japan is back,Fortune,"Japan's central bank raised interest rates above zero for the first time in 17 years just under two weeks ago. It lifted interest rates to 0%–0.1%,...",1 Apr 2024,2024-04-01
"How interest rate actions by Japan, US & EU could affect India","YouTube
 · ThePrint","How interest rate actions by Japan, US & EU could affect India. 8.6K views 1 year ago MacroSutra with Radhika Pandey",29 Mar 2024,2024-03-29
How Japan’s return to positive interest rates after 17 years could impact world economies,ThePrint,The Bank of Japan (BoJ) announced its first interest rate hike in 17 years. It set the overnight call rate as its new policy rate in the target range of 0-0.1...,29 Mar 2024,2024-03-29
Japan’s benchmark rate hike expected to spare S-Reits with country exposure: analysts,The Business Times,Japan's first interest-rate hike in 17 years is not expected to significantly impact Singapore real estate investment trusts (S-Reits) with portfolio exposure...,29 Mar 2024,2024-03-29
Negative Interest Rates No More: Bank of Japan Ends Decade of Covering for Kuroda Bazooka’s Misfires,nippon.com,The Bank of Japan decided to put an end to its longstanding negative interest rate policy. It also halted its yield curve control guidance of long-term...,28 Mar 2024,2024-03-28
Japan ends its negative interest-rate policy,Beyond Bulls & Bears,"The Bank of Japan (BoJ) ended its negative interest rate policy (NIRP) and raised rates by 10 basis points to a range of 0.0%–0.1% on March 19, 2024. This...",28 Mar 2024,2024-03-28
BOJ’s Hawkish Member Eyes Steady Rate Hikes for Normalization,Bloomberg,Bank of Japan Board Member Naoki Tamura signaled his desire to gradually keep raising interest rates as the bank further pursues policy normalization.,27 Mar 2024,2024-03-27
How might a weak Japanese yen affect the U.S. economy?,Marketplace.org,"When the yen falls relative to the dollar, Japanese exports become cheaper for American consumers — at least that's the theory...",27 Mar 2024,2024-03-27
BOJ makes tentative return to orthodox policy | NHK WORLD-JAPAN News,NHK,The Bank of Japan implemented a seismic policy shift this month by raising rates for the first time in 17 years. Policymakers lifted the key rate out of...,27 Mar 2024,2024-03-27
Japan ends era of negative interest rates. Here’s why,The World Economic Forum,Spencer Feingold · Japan ended its eight-year period of negative interest rates this month. · Negative interest rates are used by central banks to stimulate...,26 Mar 2024,2024-03-26
The Winners And Losers As Interest Rates (Finally) Rise In Japan,Finimize,"Potential winners of the move include banks, savers, Japanese companies with lots of cash, importers, power-intensive businesses, households, Japanese tourists...",25 Mar 2024,2024-03-25
Japan hiked interest rates. Why is the yen falling?,朝日新聞,A week ago Japan raised interest rates for the first time since 2007 in a move that marked a historic shift in monetary policy. Yet the currency fell.,25 Mar 2024,2024-03-25
Japan’s Massive Money Experiment Is Over. Now What?,"YouTube
 · Bloomberg Originals","On March 19, Japan's central bank ended its latest economic experiment. The BOJ scrapped the world's last negative interest rate policy, with the first rate...",22 Mar 2024,2024-03-22
"Japan’s era of stagnant salaries, steady prices and mortgages that never go up is over",The Straits Times,Japan on March 19 declared the end of the world's last negative interest-rate policy. Read more at straitstimes.com.,22 Mar 2024,2024-03-22
"Bank of Japan ends negative interest rate policy, opts for first hike in 17 years",Jamaica Gleaner,"Japan's central bank raised its benchmark interest rate Tuesday for the first time in 17 years, ending a long-standing policy of negative rates meant to boost...",22 Mar 2024,2024-03-22
"Bank of Japan ends negative interest rate era, and other economic stories to read this week",The World Economic Forum,"1. Bank of Japan ends era of negative interest rates. The Bank of Japan (BoJ) has ended eight years of negative interest rates, representing the country's first...",22 Mar 2024,2024-03-22
Record high of S$1 to 112.85 yen against SGD despite Japan’s interest rate hike,Mothership,The yen fell more than six per cent this year and is the worst performing currency at the moment. It hit a historic low against the Singapore dollar on Mar. 21...,22 Mar 2024,2024-03-22
"The Era of Stagnant Salaries, Steady Prices and Mortgages That Never Go Up Is Over in Japan",Bloomberg.com,The country's first rate rise since 2007 has Japanese residents of all stripes rethinking their finances.,21 Mar 2024,2024-03-21
What Does Japan's Rate Rise Means for Investors?,Morningstar,Not much in the markets has changed following the BoJ's historic rate rise. What happens next could be more interesting.,21 Mar 2024,2024-03-21
Japanese yen hits 16-year low against euro,Hürriyet Daily News,The Japanese yen fell to a 16-year low against the euro yesterday as the Bank of Japan indicated that monetary policy would remain loose even after shifting...,21 Mar 2024,2024-03-21
End to negative interest rates in Japan to boost lenders' margins,S&P Global,End to negative interest rates in Japan to boost lenders' margins ... Japanese lenders can expect improved net interest margins (NIMs) after the nation's central...,21 Mar 2024,2024-03-21
BOJ's next rate hike in spotlight as investors eye July or October,Nikkei Asia,"TOKYO -- After the Bank of Japan decided to end negative interest rates on Tuesday, the market's attention is turning to whether the bank will impleme.",21 Mar 2024,2024-03-21
Japan will remain the new normal,Financial Times,Greetings. The big news in central banking this week was the Bank of Japan's move to lift its short-term interest rate above zero and stop targeting...,21 Mar 2024,2024-03-21
End of negative interest rates in Japan raises threat of yen volatility,Financial Times,"Japan's currency has held a unique position in foreign exchange markets since the 1990s, as the Bank of Japan kept rates low or negative to spur economic growth...",21 Mar 2024,2024-03-21
Why the Yen Is So Weak and What That Means for Japan: QuickTake,Bloomberg.com,"The yen continues to languish near its lowest level against the dollar since 1986, mainly because interest rates in Japan remain much lower than those in the...",21 Mar 2024,2024-03-21
Should You Invest In Japan Now That Rates Have Risen?,Morningstar,"Markets had long been expecting the Bank of Japan's recent decision to end its policy of negative interest rates. Still, its March 19 announcement marked a...",21 Mar 2024,2024-03-21
"Japan ends 17-year run of negative interest rates | March 21, 2021","YouTube
 · CNN 10","Today on CNN 10, we cover a historic hike in interest rates announced by the Bank of Japan, ending an era of negative interest rate policy on the island...",20 Mar 2024,2024-03-20
Japan finally beats deflation: here is what Bank of Japan did,"YouTube
 · Business Standard",Bank of Japan raised its benchmark interest rate on March 19 for the first time in 17 years. The bank had kept borrowing costs extremely low for many years...,20 Mar 2024,2024-03-20
"Higher mortgages, stronger yen on horizon as BOJ ends negative rate",Kyodo News Plus,"The end to the Bank of Japan's eight-year-long negative interest rate policy is a double-edged sword for average citizens, who may find mortgages less...",20 Mar 2024,2024-03-20
The Bank of Japan’s tricky path to normalisation,Financial Times,"For market watchers, the prospect of Japan's interest rates rising into positive territory became more unnerving with each passing year.",20 Mar 2024,2024-03-20
"Japan ends negative interest rates, but QE continues",Euromoney,"The Bank of Japan, led by governor Kazuo Ueda, finally abandoned negative interest rates, raising its deposit rate from -0.10% to 0.00 to 0.10%.",20 Mar 2024,2024-03-20
‘China has bigger fish to fry’: limited impact from Japan upping interest rates,South China Morning Post,"Bank of Japan ended eight years of negative interest rates on Tuesday, raising the cost of borrowing for the first time in 17 years.",20 Mar 2024,2024-03-20
Negative interest rate era ends worldwide as Japan drops policy,Anadolu Ajansı,"The BoJ started its negative interest rate policy in 2016 to prevent a stronger yen from damaging the export-oriented economy, and to fight deflation, though...",20 Mar 2024,2024-03-20
Bank Of Japan Hikes Interest Rates: How Will It Impact Indian markets?,Outlook Business,"Samir Bahl, CEO – Investment Banking at Anand Rathi Advisors says while levels of Japanese retail inflow have increased into Indian markets they are still...",20 Mar 2024,2024-03-20
Pound Japanese Yen (GBP/JPY) exchange rate hits nine-year high as Bank of Japan abandons negative rates,TorFX News,"The Pound Japanese Yen (GBP/JPY) is extending its recent gains today, as the Bank of Japan (BoJ) exits its negative interest rate regime.",20 Mar 2024,2024-03-20
